date,station_name,station_id,swe_mm_startofday,change_swe,snowdepth_cm_startofday,change_snowdepth_cm,elevation_ft,lat,lon
1/2/17,Poison Flat,697,104,0,36,3,7736,38.50553,-119.62612
1/3/17,Poison Flat,697,104,0,38,2,7736,38.50553,-119.62612
1/4/17,Poison Flat,697,137,33,61,23,7736,38.50553,-119.62612
1/5/17,Poison Flat,697,216,79,91,30,7736,38.50553,-119.62612
1/6/17,Poison Flat,697,216,0,91,0,7736,38.50553,-119.62612
1/7/17,Poison Flat,697,216,0,86,-5,7736,38.50553,-119.62612
1/8/17,Poison Flat,697,239,23,86,0,7736,38.50553,-119.62612
1/9/17,Poison Flat,697,269,30,84,-2,7736,38.50553,-119.62612
1/10/17,Poison Flat,697,284,15,104,20,7736,38.50553,-119.62612
1/11/17,Poison Flat,697,335,51,142,38,7736,38.50553,-119.62612
1/12/17,Poison Flat,697,358,23,155,13,7736,38.50553,-119.62612
1/13/17,Poison Flat,697,376,18,168,13,7736,38.50553,-119.62612
1/14/17,Poison Flat,697,376,0,150,-18,7736,38.50553,-119.62612
1/15/17,Poison Flat,697,376,0,145,-5,7736,38.50553,-119.62612
1/1/17,Rubicon #2,724,94,,38,,7585,38.9994,-120.1314
1/2/17,Rubicon #2,724,94,0,43,5,7585,38.9994,-120.1314
1/3/17,Rubicon #2,724,99,5,69,26,7585,38.9994,-120.1314
1/4/17,Rubicon #2,724,173,74,99,30,7585,38.9994,-120.1314
1/5/17,Rubicon #2,724,246,73,137,38,7585,38.9994,-120.1314
1/6/17,Rubicon #2,724,254,8,130,-7,7585,38.9994,-120.1314
1/7/17,Rubicon #2,724,259,5,122,-8,7585,38.9994,-120.1314
1/8/17,Rubicon #2,724,290,31,114,-8,7585,38.9994,-120.1314
1/9/17,Rubicon #2,724,345,55,104,-10,7585,38.9994,-120.1314
1/10/17,Rubicon #2,724,345,0,135,31,7585,38.9994,-120.1314
1/11/17,Rubicon #2,724,465,120,188,53,7585,38.9994,-120.1314
1/12/17,Rubicon #2,724,511,46,216,28,7585,38.9994,-120.1314
1/13/17,Rubicon #2,724,526,15,211,-5,7585,38.9994,-120.1314
1/14/17,Rubicon #2,724,526,0,201,-10,7585,38.9994,-120.1314
1/15/17,Rubicon #2,724,526,0,193,-8,7585,38.9994,-120.1314
1/1/17,Sonora Pass,771,170,,69,,8770,38.31021,-119.6003
1/2/17,Sonora Pass,771,173,3,69,0,8770,38.31021,-119.6003
1/3/17,Sonora Pass,771,185,12,81,12,8770,38.31021,-119.6003
1/4/17,Sonora Pass,771,213,28,102,21,8770,38.31021,-119.6003
1/5/17,Sonora Pass,771,269,56,130,28,8770,38.31021,-119.6003
1/6/17,Sonora Pass,771,282,13,124,-6,8770,38.31021,-119.6003
1/7/17,Sonora Pass,771,284,2,119,-5,8770,38.31021,-119.6003
1/8/17,Sonora Pass,771,300,16,132,13,8770,38.31021,-119.6003
1/9/17,Sonora Pass,771,371,71,137,5,8770,38.31021,-119.6003
1/10/17,Sonora Pass,771,391,20,157,20,8770,38.31021,-119.6003
1/11/17,Sonora Pass,771,452,61,196,39,8770,38.31021,-119.6003
1/12/17,Sonora Pass,771,472,20,198,2,8770,38.31021,-119.6003
1/13/17,Sonora Pass,771,493,21,216,18,8770,38.31021,-119.6003
1/14/17,Sonora Pass,771,493,0,206,-10,8770,38.31021,-119.6003
1/15/17,Sonora Pass,771,493,0,196,-10,8770,38.31021,-119.6003
1/1/17,Spratt Creek,778,25,,13,,6060,38.66625,-119.81755
1/2/17,Spratt Creek,778,23,-2,13,0,6060,38.66625,-119.81755
1/3/17,Spratt Creek,778,28,5,18,5,6060,38.66625,-119.81755
1/4/17,Spratt Creek,778,48,20,33,15,6060,38.66625,-119.81755
1/5/17,Spratt Creek,778,61,13,25,-8,6060,38.66625,-119.81755
1/6/17,Spratt Creek,778,61,0,25,0,6060,38.66625,-119.81755
1/7/17,Spratt Creek,778,56,-5,25,0,6060,38.66625,-119.81755
1/8/17,Spratt Creek,778,71,15,23,-2,6060,38.66625,-119.81755
1/9/17,Spratt Creek,778,53,-18,15,-8,6060,38.66625,-119.81755
1/10/17,Spratt Creek,778,66,13,25,10,6060,38.66625,-119.81755
1/11/17,Spratt Creek,778,117,51,66,41,6060,38.66625,-119.81755
1/12/17,Spratt Creek,778,127,10,61,-5,6060,38.66625,-119.81755
1/13/17,Spratt Creek,778,147,20,76,15,6060,38.66625,-119.81755
1/14/17,Spratt Creek,778,147,0,71,-5,6060,38.66625,-119.81755
1/15/17,Spratt Creek,778,147,0,69,-2,6060,38.66625,-119.81755
1/1/17,Squaw Valley G.C.,784,411,,91,,8029,39.18998,-120.26475
1/2/17,Squaw Valley G.C.,784,411,0,89,-2,8029,39.18998,-120.26475
1/3/17,Squaw Valley G.C.,784,414,3,109,20,8029,39.18998,-120.26475
1/4/17,Squaw Valley G.C.,784,470,56,119,10,8029,39.18998,-120.26475
1/5/17,Squaw Valley G.C.,784,500,30,173,54,8029,39.18998,-120.26475
1/6/17,Squaw Valley G.C.,784,546,46,152,-21,8029,39.18998,-120.26475
1/7/17,Squaw Valley G.C.,784,546,0,147,-5,8029,39.18998,-120.26475
1/8/17,Squaw Valley G.C.,784,584,38,147,0,8029,39.18998,-120.26475
1/9/17,Squaw Valley G.C.,784,671,87,145,-2,8029,39.18998,-120.26475
1/10/17,Squaw Valley G.C.,784,676,5,168,23,8029,39.18998,-120.26475
1/11/17,Squaw Valley G.C.,784,792,116,236,68,8029,39.18998,-120.26475
1/12/17,Squaw Valley G.C.,784,826,34,236,0,8029,39.18998,-120.26475
1/13/17,Squaw Valley G.C.,784,902,76,251,15,8029,39.18998,-120.26475
1/14/17,Squaw Valley G.C.,784,902,0,241,-10,8029,39.18998,-120.26475
1/15/17,Squaw Valley G.C.,784,902,0,239,-2,8029,39.18998,-120.26475
1/1/17,State Line,1258,51,,20,,5680,41.98609,-120.71574
1/2/17,State Line,1258,51,0,23,3,5680,41.98609,-120.71574
1/3/17,State Line,1258,58,7,28,5,5680,41.98609,-120.71574
1/4/17,State Line,1258,84,26,51,23,5680,41.98609,-120.71574
1/5/17,State Line,1258,84,0,48,-3,5680,41.98609,-120.71574
1/6/17,State Line,1258,84,0,46,-2,5680,41.98609,-120.71574
1/7/17,State Line,1258,91,7,43,-3,5680,41.98609,-120.71574
1/8/17,State Line,1258,97,6,43,0,5680,41.98609,-120.71574
1/9/17,State Line,1258,104,7,33,-10,5680,41.98609,-120.71574
1/10/17,State Line,1258,114,10,38,5,5680,41.98609,-120.71574
1/11/17,State Line,1258,130,16,46,8,5680,41.98609,-120.71574
1/12/17,State Line,1258,127,-3,43,-3,5680,41.98609,-120.71574
1/13/17,State Line,1258,130,3,46,3,5680,41.98609,-120.71574
1/14/17,State Line,1258,130,0,46,0,5680,41.98609,-120.71574
1/15/17,State Line,1258,130,0,46,0,5680,41.98609,-120.71574
1/1/17,Summit Meadow,1052,135,,58,,9313,38.39747,-119.53522
1/2/17,Summit Meadow,1052,135,0,58,0,9313,38.39747,-119.53522
1/3/17,Summit Meadow,1052,135,0,56,-2,9313,38.39747,-119.53522
1/4/17,Summit Meadow,1052,155,20,76,20,9313,38.39747,-119.53522
1/5/17,Summit Meadow,1052,231,76,112,36,9313,38.39747,-119.53522
1/6/17,Summit Meadow,1052,236,5,109,-3,9313,38.39747,-119.53522
1/7/17,Summit Meadow,1052,239,3,104,-5,9313,38.39747,-119.53522
1/8/17,Summit Meadow,1052,272,33,122,18,9313,38.39747,-119.53522
1/9/17,Summit Meadow,1052,333,61,132,10,9313,38.39747,-119.53522
1/10/17,Summit Meadow,1052,358,25,145,13,9313,38.39747,-119.53522
1/11/17,Summit Meadow,1052,414,56,175,30,9313,38.39747,-119.53522
1/12/17,Summit Meadow,1052,434,20,173,-2,9313,38.39747,-119.53522
1/13/17,Summit Meadow,1052,457,23,190,17,9313,38.39747,-119.53522
1/14/17,Summit Meadow,1052,457,0,180,-10,9313,38.39747,-119.53522
1/15/17,Summit Meadow,1052,457,0,173,-7,9313,38.39747,-119.53522
1/1/17,Tahoe City Cross,809,25,,13,,6797,39.17162,-120.15362
1/2/17,Tahoe City Cross,809,36,11,13,0,6797,39.17162,-120.15362
1/3/17,Tahoe City Cross,809,66,30,51,38,6797,39.17162,-120.15362
1/4/17,Tahoe City Cross,809,99,33,69,18,6797,39.17162,-120.15362
1/5/17,Tahoe City Cross,809,173,74,94,25,6797,39.17162,-120.15362
1/6/17,Tahoe City Cross,809,180,7,91,-3,6797,39.17162,-120.15362
1/7/17,Tahoe City Cross,809,178,-2,86,-5,6797,39.17162,-120.15362
1/8/17,Tahoe City Cross,809,198,20,74,-12,6797,39.17162,-120.15362
1/9/17,Tahoe City Cross,809,183,-15,53,-21,6797,39.17162,-120.15362
1/10/17,Tahoe City Cross,809,213,30,76,23,6797,39.17162,-120.15362
1/11/17,Tahoe City Cross,809,284,71,140,64,6797,39.17162,-120.15362
1/12/17,Tahoe City Cross,809,310,26,140,0,6797,39.17162,-120.15362
1/13/17,Tahoe City Cross,809,318,8,145,5,6797,39.17162,-120.15362
1/14/17,Tahoe City Cross,809,312,-6,135,-10,6797,39.17162,-120.15362
1/15/17,Tahoe City Cross,809,307,-5,130,-5,6797,39.17162,-120.15362
1/1/17,Truckee #2,834,89,,28,,6509,39.30087,-120.18407
1/2/17,Truckee #2,834,94,5,33,5,6509,39.30087,-120.18407
1/3/17,Truckee #2,834,109,15,56,23,6509,39.30087,-120.18407
1/4/17,Truckee #2,834,145,36,76,20,6509,39.30087,-120.18407
1/5/17,Truckee #2,834,221,76,107,31,6509,39.30087,-120.18407
1/6/17,Truckee #2,834,229,8,99,-8,6509,39.30087,-120.18407
1/7/17,Truckee #2,834,229,0,91,-8,6509,39.30087,-120.18407
1/8/17,Truckee #2,834,264,35,79,-12,6509,39.30087,-120.18407
1/9/17,Truckee #2,834,249,-15,66,-13,6509,39.30087,-120.18407
1/10/17,Truckee #2,834,272,23,97,31,6509,39.30087,-120.18407
1/11/17,Truckee #2,834,376,104,160,63,6509,39.30087,-120.18407
1/12/17,Truckee #2,834,399,23,160,0,6509,39.30087,-120.18407
1/13/17,Truckee #2,834,409,10,163,3,6509,39.30087,-120.18407
1/14/17,Truckee #2,834,409,0,152,-11,6509,39.30087,-120.18407
1/15/17,Truckee #2,834,409,0,145,-7,6509,39.30087,-120.18407
1/1/17,Virginia Lakes Ridge,846,91,,46,,9445,38.07298,-119.23433
1/2/17,Virginia Lakes Ridge,846,91,0,46,0,9445,38.07298,-119.23433
1/3/17,Virginia Lakes Ridge,846,91,0,46,0,9445,38.07298,-119.23433
1/4/17,Virginia Lakes Ridge,846,104,13,58,12,9445,38.07298,-119.23433
1/5/17,Virginia Lakes Ridge,846,183,79,109,51,9445,38.07298,-119.23433
1/6/17,Virginia Lakes Ridge,846,185,2,107,-2,9445,38.07298,-119.23433
1/7/17,Virginia Lakes Ridge,846,190,5,99,-8,9445,38.07298,-119.23433
1/8/17,Virginia Lakes Ridge,846,234,44,127,28,9445,38.07298,-119.23433
1/9/17,Virginia Lakes Ridge,846,320,86,150,23,9445,38.07298,-119.23433
1/10/17,Virginia Lakes Ridge,846,356,36,165,15,9445,38.07298,-119.23433
1/11/17,Virginia Lakes Ridge,846,404,48,183,18,9445,38.07298,-119.23433
1/12/17,Virginia Lakes Ridge,846,419,15,193,10,9445,38.07298,-119.23433
1/13/17,Virginia Lakes Ridge,846,437,18,190,-3,9445,38.07298,-119.23433
1/14/17,Virginia Lakes Ridge,846,437,0,185,-5,9445,38.07298,-119.23433
1/15/17,Virginia Lakes Ridge,846,437,0,180,-5,9445,38.07298,-119.23433
1/1/17,Ward Creek #3,848,99,,48,,6745,39.13545,-120.21865
1/2/17,Ward Creek #3,848,104,5,56,8,6745,39.13545,-120.21865
1/3/17,Ward Creek #3,848,152,48,109,53,6745,39.13545,-120.21865
1/4/17,Ward Creek #3,848,211,59,132,23,6745,39.13545,-120.21865
1/5/17,Ward Creek #3,848,338,127,183,51,6745,39.13545,-120.21865
1/6/17,Ward Creek #3,848,358,20,170,-13,6745,39.13545,-120.21865
1/7/17,Ward Creek #3,848,366,8,157,-13,6745,39.13545,-120.21865
1/8/17,Ward Creek #3,848,378,12,147,-10,6745,39.13545,-120.21865
1/9/17,Ward Creek #3,848,373,-5,117,-30,6745,39.13545,-120.21865
1/10/17,Ward Creek #3,848,422,49,147,30,6745,39.13545,-120.21865
1/11/17,Ward Creek #3,848,574,152,231,84,6745,39.13545,-120.21865
1/12/17,Ward Creek #3,848,625,51,236,5,6745,39.13545,-120.21865
1/13/17,Ward Creek #3,848,663,38,244,8,6745,39.13545,-120.21865
1/14/17,Ward Creek #3,848,663,0,231,-13,6745,39.13545,-120.21865
1/15/17,Ward Creek #3,848,663,0,221,-10,6745,39.13545,-120.21865
